Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form Of Contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,NDA/Pre Qualification,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Published Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address
Bharat Sanchar Nigam Limited (Govt of India Enterprise)||North East Task Force Circle||O/o CGM NETF Guawahati,CNTx/Shillong/ A-4/ Raliang-Umrangso/23-24/1,2023_BSNL_154963_3,Yes,Open Tender,Supply,Works,2,No,No,Offline,No,No,No,590,"CAO/IFA,O/o CGM NETF, BSNL, Guwahati",GUWAHATI,Yes,"37,889",Yes,fixed,NA,"CAO/IFA,O/o CGM NETF, BSNL, Guwahati",GUWAHATI,"9.3KM Raliang-Umrangso OFC PATCH WORK UNDER DIVISIONAL ENGINEER (M) CORE NETWORK Tx-NER , BSNL, Shillong Division","9.3KM Raliang-Umrangso OFC PATCH WORK UNDER DIVISIONAL ENGINEER (M) CORE NETWORK Tx-NER , BSNL, Shillong Division",Please refer Tender documents.,NA,"18,94,428",OFC Laying Works,NA,Tender,150,57,Raliang-Umrangsoo,793150,NA,NA,NA,SHILLONG,No,No,02-Sep-2023 12:00 PM,23-Sep-2023 03:00 PM,02-Sep-2023 12:00 PM,22-Sep-2023 03:00 PM,NA,NA,02-Sep-2023 12:00 PM,22-Sep-2023 03:00 PM,"DE MTCE,SHILLONG","O/o GMM CNTX-NER,BSNL,SHILLONG"
Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Rajasthan Telecom Circle||GMTD-Bikaner||AGM(Rural),S-496/e-T/Cluster-7/ Outsourcing/HMG Distt/SGR,2023_BSNL_166462_1,Yes,Open Tender,EOI,Services,2,No,No,Offline,No,No,No,"1,180",AO (Cash) BSNL O/o GMTD Bikaner,BIKANER,Yes,"52,653",Yes,fixed,NA,AO (Cash) BSNL O/o GMTD Bikaner,BIKANER,e-Tender for Outsourcing model for Maintenance and provisioning of Landline and Broadband for External plant of Copper Network in Cluster-7 of Hanumangarh Distt of Sriganganagar SSA of  Bikaner BA,e-Tender for Outsourcing model for Maintenance and provisioning of Landline and Broadband for External plant of Copper Network in Cluster-7 of Hanumangarh Distt of Sriganganagar SSA of  Bikaner BA,Please refer Tender documents.,NA,"21,06,120",Miscellaneous Services,NA,Tender,180,365,Bikaner,334001,NA,NA,NA,Bikaner,No,No,02-Sep-2023 10:00 AM,23-Sep-2023 11:30 AM,02-Sep-2023 10:00 AM,22-Sep-2023 11:30 AM,NA,NA,02-Sep-2023 10:00 AM,22-Sep-2023 11:30 AM,GM BIKANER BA,BSNL BIKANER
Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Rajasthan Telecom Circle||GMTD-Bikaner||AGM(Rural),S-495/e-Tender/Cluster-4/ Outsourcing/SGR Rural/Bi,2023_BSNL_166450_1,Yes,Open Tender,EOI,Services,2,No,No,Offline,No,No,No,"1,180",AO (Cash) BSNL O/o GMTD Bikaner,BIKANER,Yes,"52,688",Yes,fixed,NA,AO (Cash) BSNL O/o GMTD Bikaner,BIKANER,e-Tender for Outsourcing model for Maintenance and provisioning of Landline and Broadband for External plant of Copper Network in Cluster-4 of Rural area of Sriganganagar SSA of  Bikaner BA,e-Tender for Outsourcing model for Maintenance and provisioning of Landline and Broadband for External plant of Copper Network in Cluster-4 of Rural area of Sriganganagar SSA of  Bikaner BA,Please refer Tender documents.,NA,"21,07,512",Miscellaneous Services,NA,Tender,180,365,BIKANER,334001,NA,NA,NA,BIKANER,No,No,02-Sep-2023 10:00 AM,23-Sep-2023 11:30 AM,02-Sep-2023 10:00 AM,22-Sep-2023 11:30 AM,NA,NA,02-Sep-2023 10:00 AM,22-Sep-2023 11:30 AM,GM BIKANER BA,BSNL BIKANER
Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Chhattisgarh Telecom Circle- Raipur||GMTD Bastar,W-19-607/GMBA/BASTAR/Tender,2023_BSNL_166395_1,Yes,Open Tender,Works,Works,2,No,No,Offline,No,No,No,590,Accounts Officer (Cash) BSNL O/o The GMBA Bastar,BSNL,Yes,"39,944",Yes,fixed,NA,Accounts Officer (Cash) BSNL O/o The GMBA Bastar,BSNL,E-Tender for Installation  of Radio Equipment under 4G Saturation Project  in Bastar BA,E-Tender for Installation  of Radio Equipment under 4G Saturation Project  in Bastar BA,Please refer Tender documents.,NA,"15,97,750",Job Works,NA,Tender,240,365,GMBA BASTAR JAGDALPUR,494001,Jagdalpur,"Assistant General Manager (Planning) O/o General Manager Business Area BSNL,Bastar, Door Sanchar Bhavan Vrindavan Colony Jagdalpur CG 494001",11-Sep-2023 11:30 AM,Jagdalpur,No,No,01-Sep-2023 06:00 PM,22-Sep-2023 12:30 PM,02-Sep-2023 11:30 AM,21-Sep-2023 11:30 AM,NA,NA,02-Sep-2023 11:30 AM,21-Sep-2023 11:30 AM,AGM Planning,"Assistant General Manager (Planning) O/o General Manager Business Area BSNL,Bastar, Door Sanchar Bhavan Vrindavan Colony Jagdalpur CG 494001"
Bharat Sanchar Nigam Limited (Govt of India Enterprise)||UP(EAST) Telecom Circle||Business Area Faizabad,W-2/GM BA AYD/PLG/TENDER/TOWER DISMNTL/AYDOA/23-2,2023_BSNL_166409_1,Yes,Open Tender,Lump-sum,Works,2,No,No,Offline,No,No,No,590,AO Claim BSNL,Ayodhya,Yes,"6,388",Yes,fixed,NA,AO Claim BSNL,Ayodhya,E-TENDER FOR REDUCTION OF TOWER HEIGHT  AT BSNL AYODHYA CIVIL LINES TELEPHONE  EXCHANGE,"E-TENDER FOR REDUCTION OF TOWER HEIGHT 
AT BSNL AYODHYA CIVIL LINES TELEPHONE 
EXCHANGE",Please refer Tender documents.,NA,"2,55,525",Construction Works,NA,Tender,180,365,Ayodhya OA,224001,Chamber of DGM Ayodhya,Chamber of DGM Ayodhya,11-Sep-2023 03:00 PM,O/o GM BA Ayodhya,No,No,01-Sep-2023 06:00 PM,26-Sep-2023 03:00 PM,01-Sep-2023 06:00 PM,25-Sep-2023 02:00 PM,01-Sep-2023 06:00 PM,11-Sep-2023 02:00 PM,01-Sep-2023 06:00 PM,25-Sep-2023 02:00 PM,AGM Plg,O/o GM BA Ayodhya
"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Jammu and Kashmir Telecom Circle||O/o CGMT, Jammu and Kashmir, Jammu",JP/AP/OFC REHABILITATION/RAJOURI SSA/2023-24,2023_BSNL_166365_1,Yes,Open Tender,Works,Works,2,No,No,Offline,No,No,No,"1,180",AO Cash,O/o GMTD BSNL Jammu,Yes,"2,20,004",Yes,percentage,2.5%,AO Cash,O/o GMTD BSNL Jammu,OFC Rehabilitation work in Rajouri SSA,OFC Rehabilitation work in Rajouri SSA,Please refer Tender documents.,NA,"88,00,177",Miscellaneous Works,NA,Tender,150,365,Rajouri SSA,180012,NA,NA,NA,AGM NWP,No,No,01-Sep-2023 05:00 PM,23-Sep-2023 12:00 PM,02-Sep-2023 09:00 AM,22-Sep-2023 12:00 PM,NA,NA,02-Sep-2023 09:00 AM,22-Sep-2023 12:00 PM,GMTD BSNL Jammu,3rd Floor GMTD BSNL Office Trikuta Nagar Exchange Building Jammu
Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Rajasthan Telecom Circle||GMTD-Udaipur||JTO (Plg),RJUPRD-23/11(16)/30/2023-ADMN AND PLG-UPR,2023_BSNL_166391_1,Yes,Open Tender,Works,Works,2,No,No,Offline,No,No,No,590,AO CASH BSNL O/O GMTD UDAIPUR,UDAIPUR,Yes,"1,43,289",Yes,fixed,NA,AO CASH BSNL O/O GMTD UDAIPUR,UDAIPUR,E-tender for OFC construction and allied works  works under,"E-tender for OFC construction and allied works  works under 
4G Saturation Project in villages in DEOGARH/BHIM/AMET/KUMBHALGARH/GARBHOR(9 
LOCATIONS) in Udaipur SSA.",Please refer Tender documents.,NA,"57,31,545",Miscellaneous Works,NA,Tender,180,365,rajsamand,313324,NA,NA,NA,o/o agm planning,No,No,01-Sep-2023 05:00 PM,20-Sep-2023 03:00 PM,01-Sep-2023 05:00 PM,19-Sep-2023 02:30 PM,NA,NA,01-Sep-2023 05:00 PM,19-Sep-2023 02:30 PM,GM BA UDAIPUR,"Doorsanchar Bhawan, HM Sec-4, Udaipur"
Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Rajasthan Telecom Circle||GMTD-Udaipur||JTO (Plg),RJUPRD-23/11(16)31/2023-ADMN AND PLG UPR,2023_BSNL_166386_1,Yes,Open Tender,Works,Works,2,No,No,Offline,No,No,No,590,AO CASH BSNL O/O GMTD UDAIPUR,UDAIPUR,Yes,"1,13,175",Yes,fixed,NA,BAO CASH BSNL O/O GMTD UDAIPUR,UDAIPUR,e-Tender for OFC and allied works under,"e-Tender for OFC and allied works under 
4G Saturation Project in villages in Rajsamand, Railmagra, Kunwariya,khamnore (17 locations) 
area in Rajsamand Distt",Please refer Tender documents.,NA,"45,27,018",Miscellaneous Works,NA,Tender,180,365,rajsamand,313324,NA,NA,NA,O/o AGM PLANNING,No,No,01-Sep-2023 05:00 PM,20-Sep-2023 03:00 PM,01-Sep-2023 05:00 PM,19-Sep-2023 02:30 PM,NA,NA,01-Sep-2023 05:00 PM,19-Sep-2023 02:30 PM,GM BA UDAIPUR,"Doorsanchar Bhawan,
HM Sec-4, Udaipur"
"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Assam Telecom Circle Guwahati||GMTD, Tezpur",ASCO-19/14(11)/1/2023-PLANNING TZP,2023_BSNL_166282_1,Yes,Open Tender,Percentage,Works,2,No,No,Offline,No,No,No,"1,180",BSNL,BSNL,Yes,"2,47,180",Yes,percentage,2.5%,BSNL,BSNL,"Laying of PLB pipe by open and HDD method, cable blowing /pulling, splicing  in (specify route/area as per Para 3 below) for 4G Saturation work at Zone C in Tezpur BA","Laying of PLB pipe by open and HDD method, cable blowing /pulling, splicing  in (specify route/area as per Para 3 below) for 4G Saturation work at Zone C in Tezpur BA",Please refer Tender documents.,NA,"98,87,180",OFC Laying Works,NA,Tender,150,365,Tezpur BA,784001,NA,NA,NA,TEZPUR,No,No,01-Sep-2023 03:00 PM,26-Sep-2023 03:00 PM,01-Sep-2023 03:00 PM,25-Sep-2023 02:00 PM,01-Sep-2023 03:00 PM,20-Sep-2023 01:00 PM,01-Sep-2023 04:00 PM,25-Sep-2023 02:00 PM,GMTD/TEZPUR,TEZPUR
"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Assam Telecom Circle Guwahati||GMTD, Tezpur",ASCO-19/14(11)/1/2023-PLANNING TZP/2,2023_BSNL_166274_1,Yes,Open Tender,Percentage,Works,2,No,No,Offline,No,No,No,"1,180",BSNL,BSNL,Yes,"2,39,695",Yes,percentage,2.5%,BSNL,BSNL,"Laying of PLB pipe by open and HDD method, cable blowing /pulling, splicing  in (specify route/area as per Para 3 below) for 4G Saturation work at Zone B in Tezpur BA","Laying of PLB pipe by open and HDD method, cable blowing /pulling, splicing  in (specify route/area as per Para 3 below) for 4G Saturation work at Zone B in Tezpur BA",Please refer Tender documents.,NA,"95,87,810",OFC Laying Works,NA,Tender,150,365,Tezpur BA,784001,Tezpur,BSNL Bhawan Tezpur,11-Sep-2023 03:00 PM,Tezpur,No,No,01-Sep-2023 03:00 PM,26-Sep-2023 03:00 PM,01-Sep-2023 03:00 PM,25-Sep-2023 02:00 PM,01-Sep-2023 03:00 PM,25-Sep-2023 01:00 PM,01-Sep-2023 03:00 PM,25-Sep-2023 02:00 PM,GMTD/TEZPUR,GMTD Tezpur
"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Assam Telecom Circle Guwahati||GMTD, Tezpur",ASCO-19/14(11)/1/2023-PLANNING TZP,2023_BSNL_166367_1,Yes,Open Tender,Percentage,Works,2,No,No,Offline,No,No,No,"1,180",BSNL,BSNL,Yes,"2,26,717",Yes,percentage,2.5%,BSNL,BSNL,"Laying of PLB pipe by open and HDD method, cable blowing /pulling, splicing  in (specify route/area as per Para 3 below) for 4G Saturation work at Zone D in Tezpur BA","Laying of PLB pipe by open and HDD method, cable blowing /pulling, splicing  in (specify route/area as per Para 3 below) for 4G Saturation work at Zone D in Tezpur BA",Please refer Tender documents.,NA,"90,68,670",OFC Laying Works,NA,Tender,150,365,Tezpur BA,784001,Tezpur,BSNL Bhawan,11-Sep-2023 03:00 PM,Tezpur,No,No,01-Sep-2023 03:00 PM,26-Sep-2023 03:00 PM,01-Sep-2023 03:00 PM,25-Sep-2023 02:00 PM,01-Sep-2023 03:00 PM,20-Sep-2023 06:00 PM,01-Sep-2023 03:10 PM,25-Sep-2023 02:00 PM,GMTD/TEZPUR,BSNL Bhawan Tezpur-784001
"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Assam Telecom Circle Guwahati||GMTD, Tezpur",ASCO-19/14(11)/1/2023-PLANNING TZP,2023_BSNL_166261_1,Yes,Open Tender,Percentage,Works,2,No,No,Offline,No,No,No,"1,180",BSNL,BSNL,Yes,"2,51,903",Yes,percentage,2.5%,BSNL,BSNL,"Laying of PLB pipe by open and HDD method, cable blowing /pulling, splicing  in (specify route/area as per Para 3 below) for 4G Saturation work at Zone A in Tezpur BA","Laying of PLB pipe by open and HDD method, cable blowing /pulling, splicing  in (specify route/area as per Para 3 below) for 4G Saturation work at Zone A in Tezpur BA",Please refer Tender documents.,NA,"1,00,76,100",OFC Laying Works,NA,Tender,150,365,Tezpur BA,784001,BSNL Bhawan Tezpur,BSNL Bhawan Tezpur,11-Sep-2023 03:00 PM,Tezpur,No,No,01-Sep-2023 02:00 PM,26-Sep-2023 03:00 PM,01-Sep-2023 02:00 PM,25-Sep-2023 02:00 PM,01-Sep-2023 02:00 PM,20-Sep-2023 06:00 PM,01-Sep-2023 02:00 PM,25-Sep-2023 02:00 PM,GMTD/TEZPUR,Tezpur
"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Jammu and Kashmir Telecom Circle||O/o CGMT, Jammu and Kashmir, Jammu",JKJMU-11/12(13)/IV/2023 Zone-IV,2023_BSNL_166354_1,Yes,Open Tender,Works,Works,2,No,No,Offline,No,No,No,"2,360",AO Cash,O/o GMTD BSNL Jammu,Yes,"3,62,500",Yes,percentage,2.5%,AO Cash,O/o GMTD BSNL Jammu,Udhampur SSA Zone-IV,"UPKEEP AND HOUSEKEEPING, WATCH AND WARD AND OFFICE SUPPORT AT VARIOUS DEPARTMENTAL BUILDINGS AND OFFICES IN OA UDHAMPUR(ZONE-IV) OF B.A. JAMMU",Please refer Tender documents.,NA,"1,45,00,000",Miscellaneous Works,NA,Tender,180,365,Udhampur SSA Zone-IV,180012,NA,NA,NA,AGM Admn,No,No,01-Sep-2023 02:00 PM,22-Sep-2023 12:00 PM,01-Sep-2023 02:00 PM,21-Sep-2023 12:00 PM,NA,NA,01-Sep-2023 02:00 PM,21-Sep-2023 12:00 PM,GMTD BSNL Jammu,3rd Floor GMTD BSNL Office Trikuta Nagar Exchange Building Jammu
"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Jammu and Kashmir Telecom Circle||O/o CGMT, Jammu and Kashmir, Jammu",JKJMU-11/12(13)/III/2023 Zone-III,2023_BSNL_166340_1,Yes,Open Tender,Works,Works,2,No,No,Offline,No,No,No,"1,180",AO Cash,O/o GMTD BSNL Jammu,No,"1,27,500",Yes,percentage,2.5%,AO Cash,O/o GMTD BSNL Jammu,Rajouri OA Zone-III,"UPKEEP AND HOUSEKEEPING, WATCH AND WARD AND OFFICE SUPPORT IN RAJOURI OA ZONE-III",Please refer Tender documents.,NA,"51,00,000",Miscellaneous Works,NA,Tender,180,365,Rajouri OA Zone-III,180012,NA,NA,NA,AGM Admn,No,No,01-Sep-2023 01:00 PM,22-Sep-2023 12:00 PM,01-Sep-2023 01:00 PM,21-Sep-2023 12:00 PM,NA,NA,01-Sep-2023 01:00 PM,21-Sep-2023 12:00 PM,GMTD BSNL Jammu,3rd Floor GMTD BSNL Office Trikuta Nagar exchange Building Jammu
"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Odisha Telecom Circle||GMTD, Koraput",S-194/TRANSPORT/2023-24,2023_BSNL_166249_1,Yes,Open Tender,Supply,Services,2,No,No,Offline,No,No,No,590,"AO CASH O/o GMTD, KORAPUT",KORAPUT,Yes,"35,600",Yes,fixed,NA,"AO CASH O/o GMTD, KORAPUT",KORAPUT,TRANSPORTATION OF TELECOM MATERIALS TO BE TRANSPORTED FROM / TO ANY PART OF ODISHA / EASTERN INDIA TO / FROM KORAPUT BA,"Transportation of Telecom materials to be transported from / to any part of Odisha / Eastern India
to / from Koraput Telecom District as and when required.",Please refer Tender documents.,NA,"17,80,000",Hiring of Vehicles,Transportation of Telecom materials,Tender,150,365,"GMTD, BSNL Koraput BA",764020,NA,NA,NA,"GMTD, BSNL Koraput BA",No,No,01-Sep-2023 01:00 PM,23-Sep-2023 01:10 PM,01-Sep-2023 01:05 PM,22-Sep-2023 01:00 PM,01-Sep-2023 01:00 PM,15-Sep-2023 05:00 PM,01-Sep-2023 12:15 PM,22-Sep-2023 01:00 PM,"GMTD, BSNL Koraput BA","GMTD, BSNL Koraput BA"
"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||West Bengal Telecom Circle||GMTD, Kharagpur",KGP/TENDER/BTS/MTNCE/23-24/01 Dt.01.09.2023,2023_BSNL_166320_1,Yes,Open Tender,Works,Works,2,No,No,Offline,No,No,No,"1,180","AO (Cash), BSNL, KHARAGPUR",KHARAGPUR,Yes,"1,48,740",Yes,fixed,NA,"AO (Cash), BSNL, KHARAGPUR",KHARAGPUR,TENDER for UP-KEEPING AND MAINTENANCE OF MOBILE BTS SITES,TENDER for UP-KEEPING AND MAINTENANCE OF MOBILE BTS SITES,Please refer Tender documents.,NA,"74,37,000",Support/Maintenance Service,NA,Tender,150,30,"O/O THE PGMT/KGP BA, KHARAGPUR",721305,NA,NA,NA,"O/O THE GMT/KGP BA, KHARAGPUR - 721305",No,No,01-Sep-2023 11:00 AM,22-Sep-2023 11:30 AM,01-Sep-2023 11:30 AM,21-Sep-2023 11:00 AM,NA,NA,01-Sep-2023 11:45 AM,21-Sep-2023 11:00 AM,AGM/PLG/KGP BA,"O/O THE PGMT/KGP BA, KHARAGPUR"
"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Jammu and Kashmir Telecom Circle||O/o CGMT, Jammu and Kashmir, Jammu",JKJMU-11/12(13)/2/2023 Zone-II,2023_BSNL_166292_1,Yes,Open Tender,Works,Works,2,No,No,Offline,No,No,No,"2,360",AO Cash,GMTD BSNL Jammu,Yes,"2,75,000",Yes,percentage,2.5%,AO Cash,GMTD BSNL Jammu,Jammu Rural ZOne-II,"UPKEEP AND HOUSEKEEPING, WATCH AND WARD AND OFFICE SUPPORT AT VARIOUS DEPARTMENTAL BUILDINGS AND OFFICES IN JAMMU RURAL(ZONE-II) OF B.A. JAMMU",Please refer Tender documents.,NA,"1,10,00,000",Miscellaneous Works,NA,Tender,180,365,Jammu Rural Zone-II,180012,NA,NA,NA,AGM Admn,No,No,31-Aug-2023 06:00 PM,21-Sep-2023 12:00 PM,31-Aug-2023 06:00 PM,20-Sep-2023 12:00 PM,NA,NA,31-Aug-2023 06:00 PM,20-Sep-2023 12:00 PM,GMTD BSNL Jammu,3rd Floor Trikuta Nagar Exchange Building GMTD BSNL Jammu
Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Rajasthan Telecom Circle||PGMTD-Jaipur||JTO(IT),T-28/Cat-II/2023-24,2023_BSNL_166248_1,Yes,Open Tender,EOI,Services,2,No,No,Offline,No,No,No,"1,180","A.O. Cash , PGMTD Jaipur BSNL",JAIPUR,Yes,"75,000",Yes,fixed,NA,"A.O. Cash , PGMTD Jaipur BSNL",JAIPUR,Operation and Maintenance of BSNL CSCs of Category II in business area of JAIPUR,Operation and Maintenance of BSNL CSCs of Category II in business area of JAIPUR,Please refer Tender documents.,NA,0.00,Miscellaneous Services,NA,Tender,150,365,Category-II CSC Jaipur BA,302010,NA,NA,NA,"AGM PLG,First floor,Tax building,M.I Road,Jaipur",No,No,31-Aug-2023 06:00 PM,22-Sep-2023 12:00 PM,31-Aug-2023 06:00 PM,21-Sep-2023 11:00 AM,NA,NA,31-Aug-2023 06:00 PM,21-Sep-2023 11:00 AM,AGM PLANNING,"AGM PLG,First floor,Tax building,M.I Road,Jaipur"
"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Jammu and Kashmir Telecom Circle||O/o CGMT, Jammu and Kashmir, Jammu",JKJMU-11/12(13)/1/2023-JKJMU,2023_BSNL_166281_1,Yes,Open Tender,Works,Works,2,No,No,Offline,No,No,No,"2,360",AO Cash,O/o GMTD BSNL Jammu,Yes,"7,07,500",Yes,percentage,2.5%,AO Cash,O/o GMTD BSNL Jammu,Jammu Urban Zone-I,"UPKEEP AND HOUSEKEEPING, WATCH AND WARD AND OFFICE SUPPORT AT VARIOUS DEPARTMENTAL BUILDINGS AND OFFICES IN JAMMU URBAN(ZONE-I) OF B.A. JAMMU",Please refer Tender documents.,NA,"2,83,00,000",Miscellaneous Works,NA,Tender,180,365,Jammu Urban Zone-I,180012,NA,NA,NA,AGM (Admn),No,No,31-Aug-2023 05:15 PM,21-Sep-2023 12:00 PM,31-Aug-2023 05:15 PM,20-Sep-2023 12:00 PM,NA,NA,31-Aug-2023 05:15 PM,20-Sep-2023 12:00 PM,GMTD BSNL Jammu,3rd Floor Trikuta nagar Exchange Building GMTD Office Jammu
"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||West Bengal Telecom Circle||GMTD, Asansol",GMT/ASL/BTS/ETen/23-24,2023_BSNL_166246_1,Yes,Open Tender,Item Rate,Works,2,No,No,Offline,No,No,No,"1,180",BSNL,BSNL,Yes,"97,155",Yes,fixed,NA,BSNL,BSNL,GMT/ASL/BTS/ETen/23-24,Up-keeping and maintenance of MOBILE BTS sites in the Asansol Business Area under WB Telecom Circle,Please refer Tender documents.,NA,0.00,Support/Maintenance Service,NA,Tender,120,730,ASANSOL,713305,NA,NA,NA,O/O GENERAL MANAGER TELECOM DISTRICT Asansol BA,No,No,31-Aug-2023 03:15 PM,22-Sep-2023 03:00 PM,31-Aug-2023 03:15 PM,21-Sep-2023 03:00 PM,NA,NA,31-Aug-2023 03:15 PM,21-Sep-2023 03:00 PM,GENERAL MANAGER TELECOM DISTRICT Asansol BA,ASANSOL
"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Himachal Pradesh Telecom Circle Shimla||GMTD,Hamirpur",HMR-BA-15/12/1/2023-HMR-BA/ 697100,2023_BSNL_166198_1,Yes,Open Tender,Supply,Goods,2,No,No,Offline,No,No,No,590,AO CASH GMBA HAMIRPUR HP,AO CASH GMBA HAMIRPUR HP,Yes,"6,000",Yes,fixed,NA,AO CASH GMBA HAMIRPUR HP,AO CASH GMBA HAMIRPUR HP,E-Tender documents for printing and supply of Marketing Material in Hamirpur BA,E-Tender documents for printing and supply of Marketing Material in Hamirpur BA,Please refer Tender documents.,NA,NA,Consumables - Paper/Printing/Photocopy Paper,NA,Tender,150,365,HAMIRPUR BA,177001,NA,NA,NA,AGMCM GMTD HAMIRPUR HP,No,No,31-Aug-2023 12:00 PM,21-Sep-2023 02:30 PM,31-Aug-2023 12:00 PM,20-Sep-2023 12:00 PM,31-Aug-2023 12:00 PM,19-Sep-2023 12:00 PM,31-Aug-2023 12:00 PM,20-Sep-2023 12:00 PM,AGMCM GMTD HAMIRPUR HP,AGMCM GMTD HAMIRPUR HP
Bharat Sanchar Nigam Limited (Govt of India Enterprise)||UP(EAST) Telecom Circle||Business Area Allahabad,GMBA/PRG/Plg./Tender/ O and M bts/23-24 Dt30082023,2023_BSNL_166191_1,Yes,Open Tender,Works,Services,2,No,No,Offline,No,No,No,"1,180","AO (Cash) O/o GMTD, BSNL Allahabad",Prayagraj,Yes,"1,58,484",Yes,fixed,NA,"AO (Cash) O/o GMTD, BSNL Allahabad",Prayagraj,GMBA/PRG/Plg./Tender/ O and M rural BTS/23-24 Dt 30082023,outsourcing for Maintenance and Operation of Mobile BTS Sites/Rural Exchanges in Prayagraj BA,Please refer tender documents.,NA,"79,24,200",Network /Communication Equipments,NA,Tender,180,730,Prayagraj,211001,NA,NA,NA,Chamber of AGM(Planning),No,No,31-Aug-2023 10:00 AM,21-Sep-2023 02:00 PM,31-Aug-2023 10:00 AM,20-Sep-2023 02:00 PM,31-Aug-2023 10:00 AM,12-Sep-2023 04:00 PM,31-Aug-2023 10:00 AM,20-Sep-2023 02:00 PM,AGM(Planning),"O/o GM BA, BSNL Prayagraj,
CTO Bldg NY Road, Prayagraj 211001"
"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Maharashtra Telecom Circle||GMTD, Kolhapur",E-Tender/OCSC/KLP BA/2023-24/192,2023_BSNL_166146_1,Yes,Open Tender,EOI,Services,2,No,No,Offline,No,No,No,590,BSNL Kolhapur,Kolhapur,Yes,"1,00,000",Yes,fixed,NA,BSNL Kolhapur,Kolhapur,Outsourcing of Maintenance and Operations of Customer Service Centers (CSCs) in KOLHAPUR BA,Outsourcing of Maintenance and Operations of Customer Service Centers (CSCs) in KOLHAPUR BA,Please refer Tender documents.,NA,0.00,Miscellaneous Services,NA,Tender,120,365,Kolhapur BA,416003,NA,NA,NA,O/o AGM (Tender),No,No,30-Aug-2023 06:55 PM,21-Sep-2023 03:00 PM,30-Aug-2023 06:55 PM,20-Sep-2023 03:00 PM,NA,NA,30-Aug-2023 06:55 PM,18-Sep-2023 12:15 PM,AGM (Tender),"O/o PGMTD BSNL,
Telephone Bhavan, Tarabai Park, BSNL Kolhapur 416003."
Bharat Sanchar Nigam Limited (Govt of India Enterprise)||UP(EAST) Telecom Circle||Business Area Varanasi,07/NIT/BED/VNS/2022-23,2023_BSNL_166183_1,Yes,Open Tender,Item Rate,Works,2,No,No,Offline,No,No,No,590,Accounts Officer(Cash) O/o The GMTD BSNL Varanasi,Varanasi,No,"6,411",No,fixed,NA,Accounts Officer(Cash) O/o The GMTD BSNL Varanasi,Varanasi,"Operation and Comprehensive Maintenance of EMS at TE Bldg Bhujauti and CAMC of T. E. Bldg C-DOT Sahadatpura, Ghosi, Mohammadabad, Madhuban and Kopaganj under SSA Mau. (SH Removal of initial defects of CAMC sites taken from Department) (3rd Call)","Operation and Comprehensive Maintenance of EMS at TE Bldg Bhujauti and CAMC of T. E. Bldg C-DOT Sahadatpura, Ghosi, Mohammadabad, Madhuban and Kopaganj under SSA Mau. (SH Removal of initial defects of CAMC sites taken from Department) (3rd Call)",Please refer Tender documents.,NA,"3,20,568",Electrical Works,NA,Tender,90,30,Mau,275101,NA,NA,NA,"O/o The Executive Engineer (E), BSNL ED Varanasi",No,No,30-Aug-2023 05:45 PM,22-Sep-2023 04:00 PM,30-Aug-2023 05:50 PM,20-Sep-2023 04:00 PM,NA,NA,30-Aug-2023 06:00 PM,20-Sep-2023 04:00 PM,"The Executive Engineer (E), BSNL ED Varanasi","The Executive Engineer (E), BSNL Electrical Division, TE Bldg. shivpurva, Varanasi"
