e-Published Date,Closing Date,Opening Date,Title and Ref.No./Tender ID,Organisation Chain
29-Aug-2023 04:00 PM,22-Sep-2023 03:00 PM,23-Sep-2023 03:00 PM,"[E-TENDER for Leasing-in OFC Dark Fibre for  AirForce Sheva from Panvel OFC Station to  MTNL Cable Joint at Latitude  18.9132420478 and Longitude 72.9833099553  near Sheva Air Force Station  ]
																				[NIT-18/CNTXW/MBI/Sheva AF /FibreHiring/2023-24 ][2023_BSNL_166029_1]","Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Western Telecom Region||GMM,WTR Mumbai/ DGMM WTR Thane||SDE Admin, Thane"
29-Aug-2023 02:00 PM,19-Sep-2023 02:00 PM,20-Sep-2023 02:00 PM,"[Patch works in Bhagirathipuram-Ghansali, Ghansali-Rajakhet, Tipri-Anjanisen OFC route]
																				[CNNCO-17/11/64/2023-DD/T-295][2023_BSNL_165967_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Northern Telecom Projects||GM TP LW||DGM (TP) Dehradun
29-Aug-2023 01:30 PM,18-Sep-2023 03:00 PM,20-Sep-2023 03:00 PM,"[Job based work for Watch and Ward of BSNL Telecom Installations, Offices, Buildings, Store Depots and Premises in Sindhudurg SSA]
																				[KTD/TP-III/31/129-C/JOB Based/SNDG][2023_BSNL_165866_1]","Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Maharashtra Telecom Circle||GMTD, Kolhapur"
28-Aug-2023 06:30 PM,20-Sep-2023 06:00 PM,22-Sep-2023 12:00 PM,"[Installation and Dismantling of Battery Banks in BSNL Dumka OA under Dhanbad BA]
																				[GMBA/DNB/BB Installation Dismantling/DMK OA/09][2023_BSNL_165973_1]","Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Jharkhand Telecom Circle||GMTD, Dhanbad"
28-Aug-2023 06:00 PM,19-Sep-2023 06:00 PM,21-Sep-2023 12:00 PM,"[Installation and Dismantling of Battery Banks in BSNL Dhanbad OA]
																				[GMBA/DNB/BB Installation Dismantling/DNB OA/09][2023_BSNL_165767_1]","Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Jharkhand Telecom Circle||GMTD, Dhanbad"
28-Aug-2023 06:00 PM,19-Sep-2023 11:00 AM,20-Sep-2023 12:00 PM,"[For EOI (Expression of Interest) for Operation and Maintenance of BSNL CSCs of Category III in business area of Jaipur]
																				[T-27/Cat-III/2023-24][2023_BSNL_165916_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Rajasthan Telecom Circle||PGMTD-Jaipur||JTO(IT)
28-Aug-2023 10:00 AM,18-Sep-2023 04:00 PM,19-Sep-2023 04:00 PM,"[Hiring rigger services on call (per day basis) in Bongaigaon BA]
																				[WX-9783/BGN/Tender /Rigger/2023-24/19 Dt. 26-08-23][2023_BSNL_165860_1]","Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Assam Telecom Circle Guwahati||GMTD, Bongaigaon"
28-Aug-2023 09:00 AM,20-Sep-2023 02:00 PM,21-Sep-2023 03:00 PM,"[Supply of Office and Computer Stationary Materials in MOTIHARI OA]
																				[GC-1057/Stationary/MTH/2023-24][2023_BSNL_165864_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Bihar Telecom Circle||G.M. Muzaffarpur
28-Aug-2023 09:00 AM,19-Sep-2023 02:00 PM,20-Sep-2023 03:00 PM,"[Supply of Office and Computer Stationary Materials in CHAPRA OA]
																				[GC-1056/Stationary/CHP/2023-24][2023_BSNL_165861_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Bihar Telecom Circle||G.M. Muzaffarpur
25-Aug-2023 02:05 PM,21-Sep-2023 11:00 AM,22-Sep-2023 12:00 PM,"[D-211/E-Tender/Outsourcing BTS/ZONE-4, KSN-OA]
																				[D-211/E-Tender/Outsourcing BTS/BGP/23-][2023_BSNL_165693_4]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Bihar Telecom Circle||G.M. Bhagalpur
25-Aug-2023 02:00 PM,21-Sep-2023 11:00 AM,22-Sep-2023 12:00 PM,"[D-211/E-Tender/Outsourcing BTS/ZONE-3, KTR-OA]
																				[D-211/E-Tender/Outsourcing BTS/BGP/23-][2023_BSNL_165693_3]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Bihar Telecom Circle||G.M. Bhagalpur
25-Aug-2023 02:00 PM,21-Sep-2023 11:00 AM,22-Sep-2023 12:00 PM,"[D-211/E-Tender/Outsourcing BTS/ZONE-2, MGR-OA]
																				[D-211/E-Tender/Outsourcing BTS/BGP/23-][2023_BSNL_165693_2]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Bihar Telecom Circle||G.M. Bhagalpur
25-Aug-2023 01:40 PM,21-Sep-2023 11:00 AM,22-Sep-2023 12:00 PM,"[D-211/E-Tender/Outsourcing BTS/ZONE-1, BGP-OA]
																				[D-211/E-Tender/Outsourcing BTS/BGP/23-][2023_BSNL_165693_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Bihar Telecom Circle||G.M. Bhagalpur
25-Aug-2023 10:00 AM,20-Sep-2023 03:00 PM,21-Sep-2023 03:30 PM,"[Repair of SMPS Power Plant Modules and Control Panels of various makes including all types of spares working in various exchanges and BTSs in Raichur SSA]
																				[PLGETRprSMPSPP/2324/1dt170823][2023_BSNL_165587_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Karnataka Telecom Circle||GMTD Bellary
23-Aug-2023 06:00 PM,18-Sep-2023 12:00 PM,19-Sep-2023 12:00 PM,"[OFC Rehabilitation work in Lucknow Division]
																				[DGMTP-LW/GKP-SUL OTN Patch Work ][2023_BSNL_165467_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Northern Telecom Maintenance Region||Sr.GM (M) Lucknow
22-Aug-2023 06:20 PM,20-Sep-2023 01:00 PM,21-Sep-2023 03:00 PM,"[EOI for engaging Ext. Audit for Technical and Functional audit of four Zonal Centers ICB]
																				[TNSZBC 11/12(20)/3/2023 ADMNPLG CM SZBC DT 22.8.23][2023_BSNL_165313_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Tamilnadu Telecom Circle||GM Trichy
22-Aug-2023 04:00 PM,19-Sep-2023 03:00 PM,20-Sep-2023 03:30 PM,"[S-4-1490/OFC/4G Sites/Jodhpur SSA/23-24]
																				[S-4-1490/OFC/4G Sites/Jodhpur SSA/23-24][2023_BSNL_165179_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Rajasthan Telecom Circle||GMTD-Jodhpur||AGM(NWP-CFA)
21-Aug-2023 03:00 PM,18-Sep-2023 12:00 PM,23-Sep-2023 01:00 PM,"[GM/NTL/Plg/Tdr/ARC-PP/NTL OA/23-24  ]
																				[GM/NTL/Plg/Tdr/ARC-PP/NTL OA/23-24][2023_BSNL_165133_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Uttarakhand Telecom Circle||GMTD Nainital
21-Aug-2023 03:00 PM,18-Sep-2023 12:00 PM,23-Sep-2023 01:00 PM,"[GM/NTL/Plg/Tdr/ARC-PP/AMO OA/23-24]
																				[GM/NTL/Plg/Tdr/ARC-PP/AMO OA/23-24][2023_BSNL_165124_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Uttarakhand Telecom Circle||GMTD Nainital
21-Aug-2023 12:00 PM,20-Sep-2023 03:00 PM,21-Sep-2023 03:30 PM,"[E-Tender for hiring of Driver Services in BSNL ATP BA]
																				[Motor Driver/Hiring/Tender][2023_BSNL_165102_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Andhra Pradesh Telecom Circle- Vijayawada||PGMTD Anantpur
19-Aug-2023 03:00 PM,18-Sep-2023 02:00 PM,19-Sep-2023 03:00 PM,"[Rectification of OFC Faults  Miscellaneous Works in Barabanki OA under  Ayodhya BA]
																				[W-2/GMAY BA/PLG/Tender/BBK/ OFC Mtce work/2023-24][2023_BSNL_165059_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||UP(EAST) Telecom Circle||Business Area Faizabad
18-Aug-2023 05:00 PM,20-Sep-2023 12:00 PM,21-Sep-2023 12:00 PM,"[OFC Rehabilitation work in RTTC Division]
																				[DGMTP-LW/RTTC Div. Patch Work/T-03/2023-24][2023_BSNL_164878_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Northern Telecom Maintenance Region||Sr.GM (M) Lucknow
18-Aug-2023 05:00 PM,20-Sep-2023 03:00 PM,21-Sep-2023 03:00 PM,"[OFC Rehabilitation work in Sultanpur Division]
																				[DGMTP-LW/SUL Div. Patch Work/T-06/2023-24 ][2023_BSNL_164880_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Northern Telecom Maintenance Region||Sr.GM (M) Lucknow
17-Aug-2023 06:45 PM,22-Sep-2023 12:00 PM,23-Sep-2023 12:00 PM,"[OFC Rehabilitation work in Ayodhya division]
																				[DGMTP-LW/SUL-RTTC OTN Patch Work/T-05/2023-24][2023_BSNL_164831_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Northern Telecom Maintenance Region||Sr.GM (M) Lucknow
17-Aug-2023 06:00 PM,20-Sep-2023 12:00 PM,21-Sep-2023 12:00 PM,"[OFC Rehabilitation work in RTTC Division]
																				[DGMTP-LW/T-04/2023-24][2023_BSNL_164821_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Northern Telecom Maintenance Region||Sr.GM (M) Lucknow
17-Aug-2023 04:00 PM,20-Sep-2023 11:30 AM,21-Sep-2023 12:00 PM,"[Engaging Consultants for Organizational Transformation in Strategic areas]
																				[MM/RSTG/CONSULTANT/T-770/2023][2023_BSNL_164226_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||BSNL Corporate Office- New Delhi||MM Cell BSNL Corporate Office
17-Aug-2023 01:00 PM,27-Sep-2023 11:30 AM,29-Sep-2023 12:00 PM,"[Procurement of Satellite Bandwidth in LEO/MEO/GEO]
																				[MM/RPC/Satellite Bandwidth/T-771/2023][2023_BSNL_164079_2]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||BSNL Corporate Office- New Delhi||MM Cell BSNL Corporate Office
11-Aug-2023 06:50 PM,18-Sep-2023 02:00 PM,19-Sep-2023 03:00 PM,"[Patch works in Laxsar-Roorkee Roorkee-Bhopa-Muzafarnagar OFC route]
																				[CNNCO-17/11/65/2023-DD/T-296][2023_BSNL_164326_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Northern Telecom Projects||GM TP LW||DGM (TP) Dehradun
08-Aug-2023 09:00 AM,25-Sep-2023 02:00 PM,26-Sep-2023 03:00 PM,"[40-393/2023-Plg/Tender for BTS Sites and Infra related works for Kanpur BA(Kanpur OA)]
																				[40-393/2023-Plg/Tender for BTS Sites n Infra relat][2023_BSNL_163593_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||UP(EAST) Telecom Circle||Business Area Kanpur
08-Aug-2023 09:00 AM,25-Sep-2023 02:00 PM,26-Sep-2023 03:00 PM,"[40-393/2023-Plg/Tender for BTS Sites and Infra related works for Kanpur BA(Fatehpur OA)]
																				[40-393/Tender for BTS Sites n Infra related(FTP)][2023_BSNL_163664_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||UP(EAST) Telecom Circle||Business Area Kanpur
08-Aug-2023 09:00 AM,25-Sep-2023 02:00 PM,26-Sep-2023 03:00 PM,"[40-393/2022-Plg/Tender for BTS Sites and Infra related works for Kanpur BA(Unnao OA)]
																				[40-393/Tender for BTS Sites n Infra related(unnao)][2023_BSNL_163608_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||UP(EAST) Telecom Circle||Business Area Kanpur
08-Aug-2023 09:00 AM,25-Sep-2023 02:00 PM,26-Sep-2023 03:00 PM,"[40-393/2023-Plg/Tender for BTS Sites and Infra related works for Kanpur BA(Farrukhabad OA)]
																				[40-393/Tender for BTS Sites n Infra related(FKB)][2023_BSNL_163684_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||UP(EAST) Telecom Circle||Business Area Kanpur
01-Aug-2023 05:00 PM,22-Sep-2023 11:30 AM,25-Sep-2023 12:00 PM,"[Supply, Installation, Testing, Commissioning and Annual Maintenance of IT hardware and related software for BSNL Centralized Mobile Billing System and Probe based IPDR Management Solution.          ]
																				[MM/NWP-GSM/CBS-IPDR/T-768/2023       Dated 20-07-2][2023_BSNL_162064_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||BSNL Corporate Office- New Delhi||MM Cell BSNL Corporate Office
27-Jul-2023 06:00 PM,26-Sep-2023 03:00 PM,28-Sep-2023 04:00 PM,"[AMCandRepairofACatOaSRN]
																				[28/EEE/BSNL/AHD / 2023-24][2023_BSNL_162542_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Gujarat Telecom Circle||CE (Electrical)
18-Jul-2023 01:00 PM,22-Sep-2023 03:00 PM,23-Sep-2023 03:00 PM,"[Tender Document for Selection of Next-Gen WAN Solution Provider (NGWSP) for Department of Posts IT Modernization Project 2.0]
																				[CNNCO-12/16/12/2023-EB-II][2023_BSNL_161456_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Northern Telecom Maintenance Region
21-Jun-2023 06:00 PM,03-Oct-2023 05:00 PM,04-Oct-2023 12:00 PM,"[e-SIM Subscription and Service Management Platform (eSSMP)]
																				[MM/NWP-GSM/e-SIM/T-763/2023 issued on 09/06/2023][2023_BSNL_157919_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||BSNL Corporate Office- New Delhi||MM Cell BSNL Corporate Office
16-Jun-2023 03:40 PM,21-Sep-2023 11:00 AM,22-Sep-2023 11:30 AM,"[4G Saturation Project ADSS OFC MNP BA Zone-IV 22.20 Km]
																				[NE2MNP-19/14(11)/13/2022-PLG MNP/Zone-IV22.2Km MNP][2023_BSNL_157772_1]","Bharat Sanchar Nigam Limited (Govt of India Enterprise)||North East-II||CE (Civil), Dimapur"
16-Jun-2023 03:10 PM,21-Sep-2023 11:00 AM,22-Sep-2023 11:30 AM,"[4G Saturation Project ADSS OFC MNP BA Zone-III 20.60 Km]
																				[NE2MNP-19/14(11)/13/2022-PLG MNP/ZoneIII20.6Km MNP][2023_BSNL_157766_1]","Bharat Sanchar Nigam Limited (Govt of India Enterprise)||North East-II||CE (Civil), Dimapur"
16-Jun-2023 03:00 PM,21-Sep-2023 11:00 AM,22-Sep-2023 11:30 AM,"[4G Saturation Project ADSS OFC MNP BA Zone-II 19 Km]
																				[NE2MNP-19/14(11)/13/2022-PLG MNP/Zone-II 19Km MNP][2023_BSNL_157761_1]","Bharat Sanchar Nigam Limited (Govt of India Enterprise)||North East-II||CE (Civil), Dimapur"
16-Jun-2023 02:30 PM,21-Sep-2023 11:00 AM,22-Sep-2023 11:30 AM,"[4G Saturation Project ADSS OFC MNP BA Zone-I 18.5 Km]
																				[NE2MNP-19/14(11)/13/2022-PLG MNP/Zone-I 18.5Km MNP][2023_BSNL_157744_1]","Bharat Sanchar Nigam Limited (Govt of India Enterprise)||North East-II||CE (Civil), Dimapur"
02-Sep-2023 05:50 PM,02-Oct-2023 12:00 PM,03-Oct-2023 12:15 PM,"[Assistance to Central Service Group HME and ERS II for repairing of 6.6KV, HT Motors.]
																				[23-24/C-107/NIT-1346][2023_BPSCL_166483_1]",Bokaro Power Supply Company (P) Limited||Material Management Department - BPSCL
31-Aug-2023 06:00 PM,28-Sep-2023 12:00 PM,29-Sep-2023 12:15 PM,"[Laying, Jointing and End Termination of HT/LT Power Cables.]
																				[23-24/C-097/NIT-1345][2023_BPSCL_166297_1]",Bokaro Power Supply Company (P) Limited||Material Management Department - BPSCL
28-Aug-2023 04:30 PM,28-Sep-2023 12:00 PM,29-Sep-2023 12:15 PM,"[Assisting the Boiler Personnel for smooth and efficient operation of Dust Preparation System.]
																				[23-24/C-103/NIT-1344][2023_BPSCL_165850_1]",Bokaro Power Supply Company (P) Limited||Material Management Department - BPSCL
25-Aug-2023 09:00 AM,25-Sep-2023 12:00 PM,26-Sep-2023 12:15 PM,"[Annual Contract of cleaning of roofs of Boiler, Turbine, Screw Conveyor of TPP and CPP and various buildings of Power Plant. ]
																				[23-24/C-029/NIT-1343][2023_BPSCL_165645_1]",Bokaro Power Supply Company (P) Limited||Material Management Department - BPSCL
24-Aug-2023 06:00 PM,25-Sep-2023 12:00 PM,26-Sep-2023 12:15 PM,"[Assisting the Boiler Personnel in routine operation activities at 0 and 8 M in TPP Boilers.]
																				[23-24/C-105/NIT-1342][2023_BPSCL_165641_1]",Bokaro Power Supply Company (P) Limited||Material Management Department - BPSCL
17-Aug-2023 06:00 PM,18-Sep-2023 12:00 PM,19-Sep-2023 12:15 PM,"[Assistance in mechanical operation of Boiler, Turbine and associated auxiliaries of Unit 9.]
																				[23-24/C-102/NIT-1335][2023_BPSCL_164819_1]",Bokaro Power Supply Company (P) Limited||Material Management Department - BPSCL
08-Aug-2023 09:00 AM,18-Sep-2023 12:00 PM,19-Sep-2023 12:15 PM,"[Descaling and Re-tubing of Condenser Tubes of TPP and CPP Turbine]
																				[23-24/C-090/NIT-1327][2023_BPSCL_163707_1]",Bokaro Power Supply Company (P) Limited||Material Management Department - BPSCL
07-Aug-2023 09:00 AM,18-Sep-2023 12:00 PM,19-Sep-2023 12:15 PM,"[Linkage Materialization and Shortage Minimization for Coal Supply from CCL to BPSCL]
																				[22-23/C-130/NIT-1326][2023_BPSCL_163569_1]",Bokaro Power Supply Company (P) Limited||Material Management Department - BPSCL
23-Aug-2023 05:00 PM,20-Sep-2023 02:30 PM,21-Sep-2023 03:00 PM,"[SUPPLY, INSTALLATION, TESTING AND COMMISSIONING OF MISCELLANEOUS ELECTRICAL WORKS FOR ESTABLISHING GRID POWER SUPPLY AT LAKWA]
																				[BCPL/CNP/LA23W017MB/01035][2023_BCPL_165445_1]",Brahmaputra Cracker and Polymer Limited||C and P - BCPL
21-Aug-2023 04:30 PM,25-Sep-2023 02:30 PM,26-Sep-2023 03:00 PM,"[PROCUREMENT OF MOLECULAR SIEVES /ABSORBENTS/ INERT BALLS FOR LLDPE/HDPE UNIT FOR BUTENE-1 TREATER, SPARE BED AT BCPL, LEPETKATA]
																				[BCPL/CNP/LE23S077BB/06020][2023_BCPL_165177_1]",Brahmaputra Cracker and Polymer Limited||C and P - BCPL
13-Sep-2023 01:30 PM,03-Oct-2023 03:00 PM,04-Oct-2023 03:30 PM,"[Annual Maintenance Contract for Rewinding of LT Motors of BVFCL Namrup]
																				[Elect/WS/NIT-002/2023/849][2023_BVFCL_161563_2]",Brahmaputra Valley Fertilizer Corporation Limited||Electrical - BVFCL
30-Aug-2023 12:00 PM,20-Sep-2023 03:00 PM,21-Sep-2023 03:30 PM,"[Lifting, Shifting and Pulling of HT/LT motors/ panels  breakers for maintenance/replacement situated in different sections of Namrup-III group of plants for one year]
																				[CE/E/F/39/2023/1008][2023_BVFCL_166084_1]",Brahmaputra Valley Fertilizer Corporation Limited||Electrical - BVFCL
16-Sep-2023 03:00 PM,06-Oct-2023 02:30 PM,07-Oct-2023 03:00 PM,"[Supply of  Hammer Arm for lime stone hammer mill and Spring dowel bush ]
																				[RCF/MM/187(23)/                                   ][2023_CCI_167905_1]",Cement Corporation of India Limted||Rajban Cement Factory - CCI
16-Sep-2023 12:00 PM,09-Oct-2023 03:00 PM,10-Oct-2023 03:00 PM,"[Procurement of 33 kV Protection CT/PT Combined for 7 MVA Transformer protections along with Supervision of Erection and  Commissioning at switchyard]
																				[BKJ/MM/E-4185/1/23-24 ][2023_CCI_167915_1]",Cement Corporation of India Limted||Bokajan Cement Factory - CCI
16-Sep-2023 10:00 AM,03-Oct-2023 02:30 PM,04-Oct-2023 03:00 PM,"[Supply of Sample Gas pump for Gas Analyzer]
																				[TCF/MM/5032/23][2023_CCI_167888_1]",Cement Corporation of India Limted||Tandur Cement Factory - CCI
15-Sep-2023 03:00 PM,06-Oct-2023 03:00 PM,07-Oct-2023 03:00 PM,"[Procurement of Steel Items at Bokajan Cement Factory of CCI]
																				[BKJ/MM/C-3842/23-24][2023_CCI_167816_1]",Cement Corporation of India Limted||Bokajan Cement Factory - CCI
15-Sep-2023 02:30 PM,06-Oct-2023 02:30 PM,07-Oct-2023 03:30 PM,"[Supply of Spares required for compressor SD-1012 and NT-495 Lummins (For Mines)]
																				[RCF/MM/150-152(23)                                ][2023_CCI_167754_1]",Cement Corporation of India Limted||Rajban Cement Factory - CCI
14-Sep-2023 05:00 PM,23-Sep-2023 03:00 PM,25-Sep-2023 03:05 PM,"[Hiring of Auto-Mines]
																				[BKO/HR/HV/Auto(Mines)/23][2023_CCI_167628_1]",Cement Corporation of India Limted||Bokajan Cement Factory - CCI
14-Sep-2023 02:30 PM,05-Oct-2023 02:30 PM,06-Oct-2023 03:00 PM,"[Supply of Three Phase double Wound Lightning Transformer]
																				[RCF/ MM/ 318(22)][2023_CCI_167638_1]",Cement Corporation of India Limted||Rajban Cement Factory - CCI
14-Sep-2023 10:30 AM,23-Sep-2023 03:00 PM,25-Sep-2023 03:05 PM,"[Hiring of Auto-Factory]
																				[BKO/HR/HV/Auto(F)/23][2023_CCI_167622_1]",Cement Corporation of India Limted||Bokajan Cement Factory - CCI
13-Sep-2023 04:45 PM,04-Oct-2023 02:30 PM,05-Oct-2023 03:00 PM,"[Supply of Bevel helical Geared motor 0.37 KW, 415 volts]
																				[RCF/ MM/ 189(22)][2023_CCI_167544_1]",Cement Corporation of India Limted||Rajban Cement Factory - CCI
13-Sep-2023 04:15 PM,29-Sep-2023 03:00 PM,30-Sep-2023 03:00 PM,"[Procurement of Double Pin Insulator  at Bokajan Cement Factory of CCI]
																				[BKJ/MM/ E-4218/23-24][2023_CCI_167527_1]",Cement Corporation of India Limted||Bokajan Cement Factory - CCI
13-Sep-2023 03:30 PM,27-Sep-2023 03:00 PM,28-Sep-2023 03:05 PM,"[Rewinding of motors upto 40-400hp]
																				[BKJ/ELECT/12 (E)/2023-24/01][2023_CCI_167484_1]",Cement Corporation of India Limted||Bokajan Cement Factory - CCI
13-Sep-2023 03:00 PM,29-Sep-2023 03:00 PM,30-Sep-2023 03:00 PM,"[Procurement of IWRC Wire Rope and Slings   at Bokajan Cement Factory of CCI]
																				[BKJ/MM/Q-6682/23-24][2023_CCI_167483_1]",Cement Corporation of India Limted||Bokajan Cement Factory - CCI
13-Sep-2023 12:30 PM,27-Sep-2023 03:00 PM,28-Sep-2023 03:05 PM,"[Rewinding of motors upto 40hp]
																				[BKJ/ELECT/12 (E)/2023-24/02][2023_CCI_167448_1]",Cement Corporation of India Limted||Bokajan Cement Factory - CCI
13-Sep-2023 11:00 AM,27-Sep-2023 03:00 PM,28-Sep-2023 03:30 PM,"[HANDLING OF GRINDING MEDIA]
																				[TDO/PROD/GRINDING MEDIA HANDLING/REFLOAT/2023-24][2023_CCI_167427_1]",Cement Corporation of India Limted||Tandur Cement Factory - CCI
12-Sep-2023 04:45 PM,26-Sep-2023 02:30 PM,27-Sep-2023 03:00 PM,"[Supply of Crushers Fabricated/Casting spares]
																				[RCF/MM/124-126(23)][2023_CCI_167360_1]",Cement Corporation of India Limted||Rajban Cement Factory - CCI
12-Sep-2023 10:00 AM,29-Sep-2023 10:00 AM,30-Sep-2023 10:00 AM,"[Procurement of Relay and Contractor  at Bokajan Cement Factory of CCI]
																				[BKJ/MM/ E-4210/23-24][2023_CCI_167304_1]",Cement Corporation of India Limted||Bokajan Cement Factory - CCI
11-Sep-2023 03:30 PM,03-Oct-2023 02:30 PM,04-Oct-2023 03:30 PM,"[Supply of  White Asbestos Rope ]
																				[RCF/MM/178(23)][2023_CCI_167253_1]",Cement Corporation of India Limted||Rajban Cement Factory - CCI
11-Sep-2023 03:00 PM,03-Oct-2023 02:00 PM,04-Oct-2023 03:00 PM,"[Supply of Spares of KPC Compressor SD-1012 ]
																				[RCF/MM/151(23) ][2023_CCI_167241_1]",Cement Corporation of India Limted||Rajban Cement Factory - CCI
11-Sep-2023 02:45 PM,03-Oct-2023 02:30 PM,04-Oct-2023 03:00 PM,"[Supply of Bucket for ESP Elevator  ]
																				[RCF/MM/190(23)                                ][2023_CCI_167214_1]",Cement Corporation of India Limted||Rajban Cement Factory - CCI
09-Sep-2023 05:00 PM,23-Sep-2023 03:00 PM,25-Sep-2023 03:30 PM,"[ Internal shifting of 20000 MT plus or minus 10 percentage of clinker from near clinker silo area to Wagon Tippler area or Gypsum Stock pile or shifting the clinker from Wagon Tippler area/gypsum stock pile to near clinker silo]
																				[TDO/PROD/CLINKER SHIFTING/20,000 MT/23-24][2023_CCI_167189_1]",Cement Corporation of India Limted||Tandur Cement Factory - CCI
09-Sep-2023 05:00 PM,30-Sep-2023 02:00 PM,03-Oct-2023 09:00 AM,"[supply of  Full flexible geared coupling]
																				[RCF/MM/176 (23)][2023_CCI_167187_1]",Cement Corporation of India Limted||Rajban Cement Factory - CCI
09-Sep-2023 04:00 PM,29-Sep-2023 03:00 PM,30-Sep-2023 03:00 PM,"[Procurement of Heavy Duty LT Capacitor at Bokajan Cement Factory of CCI]
																				[BKJ/MM/ E-4215/23-24][2023_CCI_167184_1]",Cement Corporation of India Limted||Bokajan Cement Factory - CCI
09-Sep-2023 03:30 PM,29-Sep-2023 03:00 PM,30-Sep-2023 03:00 PM,"[Procurement of MS TMT BAR   at Bokajan Cement Factory of CCI]
																				[BKJ/MM/ Q-6680/23-24][2023_CCI_167180_1]",Cement Corporation of India Limted||Bokajan Cement Factory - CCI
09-Sep-2023 03:30 PM,30-Sep-2023 02:30 PM,03-Oct-2023 03:00 PM,"[Supply of Colony CCTV System]
																				[RCF/MM/120(23)][2023_CCI_167178_1]",Cement Corporation of India Limted||Rajban Cement Factory - CCI
08-Sep-2023 02:30 PM,29-Sep-2023 02:30 PM,30-Sep-2023 03:00 PM,"[Supply of Intermediate screw shaft and Drive end screw shaft]
																				[RCF/MM/166-167(23)][2023_CCI_167044_1]",Cement Corporation of India Limted||Rajban Cement Factory - CCI
08-Sep-2023 11:30 AM,22-Sep-2023 02:30 PM,23-Sep-2023 03:00 PM,"[Supply of Cast Iron Coupling with Ms thread Pin]
																				[RCF/MM/177 (23)][2023_CCI_167032_1]",Cement Corporation of India Limted||Rajban Cement Factory - CCI
05-Sep-2023 12:00 PM,20-Sep-2023 02:30 PM,21-Sep-2023 03:00 PM,"[supply of LED Street Light Fittings]
																				[TCF/MM/4028/22][2023_CCI_166661_1]",Cement Corporation of India Limted||Tandur Cement Factory - CCI
05-Sep-2023 10:00 AM,20-Sep-2023 02:30 PM,21-Sep-2023 03:00 PM,"[Supply of Feed Valve and Outlet Valve for RU-12 Packer Machine]
																				[TCF/MM/3095/23][2023_CCI_166642_1]",Cement Corporation of India Limted||Tandur Cement Factory - CCI
02-Sep-2023 04:00 PM,18-Sep-2023 02:30 PM,20-Sep-2023 03:00 PM,"[supply of Spares for RU 12 Packer Machine]
																				[TCF/MM/3080/23][2023_CCI_165833_1]",Cement Corporation of India Limted||Tandur Cement Factory - CCI
01-Sep-2023 10:00 AM,22-Sep-2023 02:30 PM,23-Sep-2023 03:00 PM,"[Supply of Needle Valve and Pressure Reducing Valve.]
																				[TCF/MM/3074/23][2023_CCI_166329_1]",Cement Corporation of India Limted||Tandur Cement Factory - CCI
31-Aug-2023 10:00 AM,21-Sep-2023 02:30 PM,22-Sep-2023 03:00 PM,"[Supply of Hardwood Planks]
																				[TCF/MM/2012/23][2023_CCI_166145_1]",Cement Corporation of India Limted||Tandur Cement Factory - CCI
